,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
228,13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,1987-07-17 00:00:00,102,7.5,Peter Weller,196245,Edward Neumeier,1987,1,3.109590846153846,310
229,15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,1987-03-06 00:00:00,110,7.6,Mel Gibson,204328,Shane Black,1987,1,3.3471418,330
230,25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,1987-06-03 00:00:00,119,7.9,Kevin Costner,234254,Oscar Fraley,1987,1,2.05081816,210
231,3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,R,1987-03-13 00:00:00,84,7.8,Bruce Campbell,123325,Sam Raimi,1987,1,0.64529,60
232,22000000,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,PG,1987-08-07 00:00:00,106,5.4,Dolph Lundgren,30370,David Odell,1987,0,-0.21198318181818182,-20
233,12000000,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,PG-13,1987-08-14 00:00:00,82,7.2,Andre Gower,21420,Shane Black,1987,0,-0.6858341666666666,-70
234,14000000,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,R,1987-09-18 00:00:00,119,6.9,Michael Douglas,60383,James Dearden,1987,1,10.188978071428572,1019
235,30000000,Eon Productions,UK,John Glen,Action,51185897,The Living Daylights,PG,1987-07-31 00:00:00,130,6.7,Timothy Dalton,74272,Richard Maibaum,1987,1,0.7061965666666666,70
236,15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,R,1987-12-11 00:00:00,126,7.4,Charlie Sheen,126195,Stanley Weiser,1987,1,1.9232066666666667,190
237,35000000,Amblin Entertainment,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,PG,1987-12-25 00:00:00,153,7.8,Christian Bale,96566,Tom Stoppard,1987,0,-0.36460868571428573,-40
239,22000000,Warner Bros.,USA,George Miller,Comedy,63766510,The Witches of Eastwick,R,1987-06-12 00:00:00,118,6.5,Jack Nicholson,51642,John Updike,1987,1,1.8984777272727273,190
241,4500000,New Line Cinema,USA,Chuck Russell,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,R,1987-02-27 00:00:00,96,6.6,Heather Langenkamp,55414,Wes Craven,1987,1,8.954049333333334,900
